Class_Name,Area,Perimeter,Mean,Std_Dev,Max_Value,Min_Value,Contrast,Dissimilarity,Homogeneity,Energy
A01465.pgm,26.5,23.071067690849304,196.77933673469389,107.03561791105285,255,0,7397.023809523809,29.007936507936506,0.8862451356453755,0.7333221671657274
A01466.pgm,29.0,24.485281229019165,193.61111111111111,109.0209658169213,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7216808644660442
A01467.pgm,30.0,23.656854152679443,194.0521978021978,108.7522641957267,255,0,7803.0,30.599999999999998,0.8800018454156798,0.7216873651805361
A01468.pgm,30.0,26.485281229019165,192.93650793650792,109.42720607360555,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7197854626098799
A01469.pgm,31.0,26.485281229019165,195.63492063492063,107.76772517814908,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7260235894135794
A01470.pgm,27.5,23.071067690849304,190.23809523809524,110.99631257792169,255,0,7681.524725274725,30.123626373626372,0.8818699485548132,0.7123653390522715
A01471.pgm,26.5,23.071067690849304,193.9484126984127,108.81570865395045,255,0,7314.197530864198,28.683127572016463,0.8875188765899149,0.7258719562878515
A01472.pgm,27.5,23.071067690849304,192.8846153846154,109.45822066435173,255,0,8092.0,31.73333333333333,0.8755574693199644,0.7160522775590695
A01473.pgm,29.5,25.071067690849304,196.45408163265307,107.24544105087834,255,0,7397.023809523809,29.007936507936506,0.8862451356453755,0.7323743319051655
A01474.pgm,30.0,24.485281229019165,192.52136752136752,109.67438974369202,255,0,8092.0,31.73333333333333,0.8755574693199644,0.7150339330250203
A01475.pgm,28.5,25.071067690849304,192.93650793650792,109.42720607360556,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7197854626098799
A01476.pgm,32.0,26.485281229019165,194.82780612244898,108.273803492525,255,0,7569.047619047618,29.68253968253968,0.8835996736836401,0.7262880496509354
A01477.pgm,24.0,21.656854152679443,193.76231527093597,108.92913097484569,255,0,7474.137931034483,29.310344827586206,0.8850592389039079,0.7240365636849885
A01478.pgm,26.5,23.071067690849304,197.75510204081633,106.3977003380923,255,0,7397.023809523809,29.007936507936506,0.8862451356453755,0.7361868712707575
A01479.pgm,28.5,23.071067690849304,193.43621399176953,109.12683301751028,255,0,7780.769230769231,30.512820512820515,0.8803437204999658,0.7203809477157908
A01480.pgm,30.0,23.656854152679443,195.1851851851852,108.05075523311804,255,0,7595.51282051282,29.786324786324787,0.8831926795356808,0.7268615357448459
A01481.pgm,33.0,24.485281229019165,193.9484126984127,108.81570865395045,255,0,7681.524725274725,30.123626373626372,0.881869948554813,0.7226345343317824
A01482.pgm,27.5,23.071067690849304,190.89972527472528,110.6197307675686,255,0,7803.0,30.599999999999998,0.8800018454156799,0.712904378623967
A01483.pgm,29.5,25.071067690849304,193.9484126984127,108.81570865395045,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7211865508021092
A01484.pgm,24.0,21.656854152679443,191.25,110.41823898251593,255,0,7308.045977011494,28.659003831417625,0.8876134780393766,0.7184393342484433
A01485.pgm,26.5,23.071067690849304,196.45408163265307,107.24544105087834,255,0,7569.047619047618,29.68253968253968,0.8835996736836401,0.7309825886555408
A01486.pgm,28.5,25.071067690849304,191.60027472527472,110.21526564022021,255,0,8174.571428571429,32.05714285714286,0.8742876475783313,0.7118042611016382
A01487.pgm,2.0,5.656854152679443,195.97222222222223,107.55372975378687,255,0,7502.884615384616,29.423076923076923,0.8846171590535383,0.7298830659364748
A01488.pgm,32.5,25.899494767189026,192.8846153846154,109.45822066435173,255,0,8092.0,31.73333333333333,0.8755574693199644,0.7160522775590695
A01489.pgm,29.0,23.656854152679443,190.6378600823045,110.76940292439666,255,0,7780.769230769231,30.512820512820515,0.8803437204999657,0.7126323763738915
A01490.pgm,31.5,25.071067690849304,194.62301587301587,108.40087979398903,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7231095929357632
A01491.pgm,24.5,23.071067690849304,194.75095785440612,108.32155218452554,255,0,7589.1246684350135,29.76127320954907,0.8832909195024297,0.7256690413383138
A01492.pgm,27.5,25.071067690849304,199.10098522167488,105.49667727130317,255,0,7298.724489795918,28.622448979591837,0.8877568281949386,0.7411932616140391
A01493.pgm,28.0,23.656854152679443,192.30082417582418,109.80484136017829,255,0,7988.785714285715,31.32857142857143,0.8771447464970056,0.7152536299118242
A01494.pgm,32.0,26.485281229019165,198.08035714285714,106.18221689900213,255,0,7397.023809523809,29.007936507936506,0.8862451356453755,0.7371487929797603
A01495.pgm,31.5,27.071067690849304,194.0521978021978,108.7522641957267,255,0,8174.571428571429,32.05714285714286,0.8742876475783313,0.7186949624003162
A01496.pgm,28.0,23.656854152679443,188.16239316239316,112.14421097770153,255,0,7899.333333333333,30.977777777777778,0.878520386717108,0.7047726773570121
A01497.pgm,32.5,27.071067690849304,193.85204081632654,108.87449967512383,255,0,7569.047619047618,29.68253968253968,0.8835996736836401,0.7235147455067177
A01498.pgm,30.5,25.071067690849304,193.61111111111111,109.0209658169213,255,0,7860.1648351648355,30.824175824175825,0.8791227380560878,0.7202309636397121
A01499.pgm,27.0,23.656854152679443,197.5307881773399,106.54547717881108,255,0,7141.954022988506,28.007662835249043,0.8901677171748453,0.7375929505844432
A01500.pgm,28.5,23.071067690849304,193.08641975308643,109.33742060233521,255,0,7780.769230769231,30.512820512820515,0.8803437204999657,0.7193971957303094
A01501.pgm,28.5,23.071067690849304,192.30082417582418,109.8048413601783,255,0,7988.785714285715,31.32857142857143,0.8771447464970056,0.7152536299118242
A01502.pgm,31.5,25.071067690849304,200.35714285714286,104.63310534765695,255,0,7132.844387755102,27.971938775510203,0.8903078093723265,0.746307549439698
A01503.pgm,2.0,5.656854152679443,199.96168582375478,104.90735954917297,255,0,7934.084880636605,31.114058355437667,0.8779859612979946,0.738289733513154
A01504.pgm,30.0,26.485281229019165,192.6510989010989,109.59737365456907,255,0,8174.571428571429,32.05714285714286,0.8742876475783312,0.714731289595279
